house_list,house_info,district,unit_price,followers_and_post_time,,tags
好房出售 滨江物业 房子还不错的 业主诚心卖 随时看房,3室2厅 | 120.63平米 | 南 | 精装 | 16层  | 板楼,金色黎明三期  笕桥,"36,061元/平",7人关注 / 一年前发布,近地铁 VR看装修 房本满五年,
法式大宅 大地下室 一本证洋房  三房朝南 诚心出售,3室2厅 | 151.36平米 | 南 | 精装 | 3层  | 板塔结合,翡翠城三期  翡翠城,"44,927元/平",13人关注 / 8个月以前发布,近地铁 VR房源 房本满两年 随时看房,
桐庐供电小区满5唯一，边套，户型方正。,2室2厅 | 83.59平米 | 南 | 精装 | 7层  | 板楼,供电小区  桐庐,"7,059元/平",0人关注 / 一年前发布,VR看装修 房本满五年,
在建的3号线地铁口好房急售、4房2卫价格好谈,4室2厅 | 135.12平米 | 南 | 简装 | 12层  | 塔楼,金世纪红枫苑  东湖,"11,842元/平",0人关注 / 2个月以前发布,VR看装修,
探梅里一楼带大花园，次新房，带全新家具家电！,2室1厅 | 88.01平米 | 南 | 精装 | 6层  | 板楼,良渚文化村探梅里B  良渚,"28,974元/平",3人关注 / 2个月以前发布,VR房源 随时看房,
中间楼层，户型通透，满五年 诚心出售,3室2厅 | 146.69平米 | 南 | 其他 | 11层  | 板楼,金都梧桐苑  翡翠城,"19,429元/平",2人关注 / 3个月以前发布,近地铁 VR看装修 房本满五年 随时看房,
西溪泊岸 地铁口 采光好 诚心出售 好房热推,3室2厅 | 59.38平米 | 南 | 简装 | 高楼层(共12层)  | 板楼,西溪泊岸  未来科技城,"11,621元/平",2人关注 / 3个月以前发布,VR房源 房本满五年,
精装修保养好 楼间距大 楼层佳 采光充足,3室2厅 | 87.27平米 | 南 北 | 简装 | 33层  | 板楼,宋都东郡国际嘉湾  大学城北,"16,959元/平",2人关注 / 一年前发布,VR看装修 房本满五年 随时看房,
杭氧好房源 楼层好 位置佳 业主诚心出售,2室1厅 | 82.45平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,杭氧和院  青山湖科技城,"7,884元/平",1人关注 / 一年前发布,VR看装修 房本满五年 随时看房,
文鼎苑 精装修 大两房 有钥匙 看房方便,2室1厅 | 87.71平米 | 南 | 其他 | 低楼层(共24层)  | 板楼,耀江文鼎苑  申花,"50,736元/平",1人关注 / 1个月以前发布,近地铁 VR房源 房本满五年 随时看房,
客厅带阳台，房间面积适中，看房方便，诚心出售！,3室1厅 | 87.97平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,朗诗未来街区  乔司,"17,961元/平",0人关注 / 1个月以前发布,近地铁 VR看装修 随时看房,
